,ret
2016-07-19,1.270100276062891e-06
2016-07-20,2.1168323764975128e-06
2016-07-21,-4.233640532591565e-07
2016-07-22,-4.2336423244915267e-07
2016-07-23,0.0
2016-07-24,0.0
2016-07-25,-8.467364527309229e-07
2016-07-26,1.2701019398431157e-06
2016-07-27,4.2336423256017497e-07
2016-07-28,8.46728106518313e-07
2016-07-29,-8.467273895362837e-07
2016-07-30,0.0
2016-07-31,0.0
2016-08-01,-1.27009978900805e-06
2016-08-02,-1.270093772820502e-06
2016-08-03,8.467302572423563e-07
2016-08-04,8.467371697129522e-07
2016-08-05,8.467288235003423e-07
2016-08-06,0.0
2016-08-07,0.0
2016-08-08,0.0
2016-08-09,1.6934638422672066e-06
2016-08-10,8.467266725542544e-07
2016-08-11,2.116822518383188e-06
2016-08-12,-4.2336208161408706e-07
2016-08-13,0.0
2016-08-14,0.0
2016-08-15,4.2336226080408323e-07
2016-08-16,0.0
2016-08-17,8.467241632281741e-07
2016-08-18,1.2700927987108201e-06
2016-08-19,6.933138305686981e-07
2016-08-20,0.0
2016-08-21,0.0
2016-08-22,-1.5599626665974142e-06
2016-08-23,1.5599650999842396e-06
2016-08-24,1.0399776542158179e-06
2016-08-25,0.0
2016-08-26,5.199844717029833e-07
2016-08-27,0.0
2016-08-28,0.0
2016-08-29,2.599943894177059e-06
2016-08-30,5.199828494450998e-07
2016-08-31,2.079945574440245e-06
2016-09-01,-1.0399706240615814e-06
2016-09-02,0.0
2016-09-03,0.0
2016-09-04,0.0
2016-09-05,0.0
2016-09-06,-2.079943411281704e-06
2016-09-07,-2.079947737487764e-06
2016-09-08,5.199918304832352e-07
2016-09-09,-2.0799509821145534e-06
2016-09-10,0.0
2016-09-11,0.0
2016-09-12,-9.35976074090128e-07
2016-09-13,1.923954739080358e-06
2016-09-14,-4.6798376007739506e-07
2016-09-15,-5.199923712728705e-07
2016-09-16,-2.59994032070221e-06
2016-09-17,0.0
2016-09-18,0.0
2016-09-19,-1.039980358052972e-06
2016-09-20,0.0
2016-09-21,1.0041021141216078e-06
2016-09-22,0.0
2016-09-23,0.0
2016-09-24,0.0
2016-09-25,0.0
2016-09-26,0.0
2016-09-27,0.0
2016-09-28,0.0
2016-09-29,0.0
2016-09-30,0.0
2016-10-01,0.0
2016-10-02,0.0
2016-10-03,0.0
2016-10-04,0.0
2016-10-05,0.0
2016-10-06,0.0
2016-10-07,0.0
2016-10-08,0.0
2016-10-09,0.0
2016-10-10,0.0
2016-10-11,0.0
2016-10-12,0.0
2016-10-13,0.0
2016-10-14,0.0
2016-10-15,0.0
2016-10-16,0.0
2016-10-17,0.0
2016-10-18,8.990149036325334e-07
2016-10-19,1.0399718310960537e-06
2016-10-20,-5.719862010700183e-07
2016-10-21,-3.6399073344295374e-07
2016-10-22,0.0
2016-10-23,0.0
2016-10-24,-1.6639669635498677e-06
2016-10-25,0.0
2016-10-26,5.2000961536791124e-08
2016-10-27,7.279829055129028e-07
2016-10-28,4.1599210853782154e-07
2016-10-29,0.0
2016-10-30,0.0
2016-10-31,-6.759811733703103e-07
2016-11-01,-5.200093444734932e-08
2016-11-02,-4.159922384339154e-07
2016-11-03,1.5599524694209776e-07
2016-11-04,-2.5998949471084387e-07
2016-11-05,0.0
2016-11-06,0.0
2016-11-07,1.533403604092598e-08
2016-11-08,0.0
2016-11-09,0.0
2016-11-10,0.0
2016-11-11,0.0
2016-11-12,0.0
2016-11-13,0.0
2016-11-14,0.0
2016-11-15,0.0
2016-11-16,0.0
2016-11-17,0.0
2016-11-18,0.0
2016-11-19,0.0
2016-11-20,0.0
2016-11-21,0.0
2016-11-22,0.0
2016-11-23,0.0
2016-11-24,0.0
2016-11-25,0.0
2016-11-26,0.0
2016-11-27,0.0
2016-11-28,0.0
2016-11-29,0.0
2016-11-30,0.0
2016-12-01,0.0
2016-12-02,0.0
2016-12-03,0.0
2016-12-04,0.0
2016-12-05,0.0
2016-12-06,0.0
2016-12-07,0.0
2016-12-08,0.0
2016-12-09,0.0
2016-12-10,0.0
2016-12-11,0.0
