,ret
2024-05-09,0.0
2024-05-10,0.0
2024-05-11,0.0
2024-05-12,0.0
2024-05-13,0.0
2024-05-14,0.0
2024-05-15,-1.4939299475269507e-07
2024-05-16,4.619938474004215e-07
2024-05-17,0.0
2024-05-18,0.0
2024-05-19,0.0
2024-05-20,0.0
2024-05-21,-4.199976810781436e-08
2024-05-22,-2.099969418356551e-07
2024-05-23,4.1999397182301834e-07
2024-05-24,6.719904541707677e-07
2024-05-25,0.0
2024-05-26,0.0
2024-05-27,1.679970238477324e-07
2024-05-28,1.6799699564806758e-07
2024-05-29,-3.359939346747609e-07
2024-05-30,1.2599729104501023e-07
2024-05-31,-4.56522923908409e-08
2024-06-01,0.0
2024-06-02,0.0
2024-06-03,1.4999930608716738e-07
2024-06-04,-2.9999856721030227e-07
2024-06-05,-1.4999932862469478e-07
2024-06-06,0.0
2024-06-07,2.499995543914224e-07
2024-06-08,0.0
2024-06-09,0.0
2024-06-10,-2.0000035638734204e-07
2024-06-11,-2.4999954173487993e-07
2024-06-12,3.9999898548970236e-07
2024-06-13,2.499995042093417e-07
2024-06-14,-1.9999840905615685e-07
2024-06-15,0.0
2024-06-16,0.0
2024-06-17,-3.000005345255019e-07
2024-06-18,2.499995668259203e-07
2024-06-19,1.0000018324518578e-07
2024-06-20,1.4999930608716738e-07
2024-06-21,-2.499994418148077e-07
2024-06-22,0.0
2024-06-23,0.0
2024-06-24,-5.999972844117352e-07
2024-06-25,9.99983358340728e-08
2024-06-26,5.0001070173166795e-08
2024-06-27,-1.499993885767381e-07
2024-06-28,-1.7380128480848356e-07
